"Göring-Eckardt, Katrin",MdB,Bündnis 90/Die Grünen
"Görke, Christian",MdB,Gruppe Die Linke
"Gohlke, Nicole",MdB,Gruppe Die Linke
"Gottschalk, Kay",MdB,AfD
"Gräßle, Dr. Ingeborg",MdB,CDU/CSU
"Gramling, Fabian",MdB,CDU/CSU
"Grau, Prof. Dr. Armin",MdB,Bündnis 90/Die Grünen
"Gremmels, Timon",MdB,SPD  *
"Griese, Kerstin",MdB,SPD
"Griewel, Fabian",MdB,FDP
"Gröhe, Hermann",MdB,CDU/CSU
"Grötsch, Uli",MdB,SPD  *
"Grosse-Brömer, Michael",MdB,CDU/CSU
"Grübel, Markus",MdB,CDU/CSU
"Gründer, Nils",MdB,FDP
"Grünke, Julian",MdB,FDP
"Grütters, Prof. Monika",MdB,CDU/CSU
"Grützmacher, Sabine",MdB,Bündnis 90/Die Grünen
"Grund, Manfred",MdB,CDU/CSU
"Grundl, Erhard",MdB,Bündnis 90/Die Grünen
"Grundmann, Oliver",MdB,CDU/CSU
"Güler, Serap",MdB,CDU/CSU
"Güntzler, Fritz",MdB,CDU/CSU
"Gürpinar, Ates",MdB,Gruppe Die Linke
"Gutting, Olav",MdB,CDU/CSU
"Gysi, Dr. Gregor",MdB,Gruppe Die Linke
"Haase, Christian",MdB,CDU/CSU
"Habeck, Dr. Robert",MdB,Bündnis 90/Die Grünen
"Hacker, Thomas",MdB,FDP
"Hagedorn, Bettina",MdB,SPD
"Hagl-Kehl, Rita",MdB,SPD
"Hahn, Dr. André",MdB,Gruppe Die Linke
"Hahn, Florian",MdB,CDU/CSU
"Hakverdi, Metin",MdB,SPD
"Hanke, Reginald",MdB,FDP  *
"Harder-Kühnel, Mariana Iris",MdB,AfD
"Hardt, Jürgen",MdB,CDU/CSU
"Hartewig, Philipp",MdB,FDP
"Hartmann, Sebastian",MdB,SPD
"Harzer, Ulrike",MdB,FDP
"Haßelmann, Britta",MdB,Bündnis 90/Die Grünen
"Hauer, Matthias",MdB,CDU/CSU
"Haug, Jochen",MdB,AfD
"Heck, Dr. Stefan",MdB,CDU/CSU
"Heidenblut, Dirk",MdB,SPD
"Heidt, Peter",MdB,FDP
"Heil (Peine), Hubertus",MdB,SPD
"Heil, Mechthild",MdB,CDU/CSU
"Heiligenstadt, Frauke",MdB,SPD
"Heilmann, Thomas",MdB,CDU/CSU
"Heinrich, Gabriela",MdB,SPD
"Heitmann, Linda",MdB,Bündnis 90/Die Grünen
"Helferich, Matthias",MdB,fraktionslos
"Helfrich, Mark",MdB,CDU/CSU
"Helling-Plahr, Katrin",MdB,FDP
"Hellmich, Wolfgang",MdB,SPD
"Henneberger, Kathrin",MdB,Bündnis 90/Die Grünen
"Hennig, Anke",MdB,SPD
"Hennig-Wellsow, Susanne",MdB,Gruppe Die Linke
"Hennrich, Michael",MdB,CDU/CSU  *
"Henrichmann, Marc",MdB,CDU/CSU
"Herbrand, Markus",MdB,FDP
"Herbst, Torsten",MdB,FDP
"Herrmann, Bernhard",MdB,Bündnis 90/Die Grünen
"Heselhaus, Nadine",MdB,SPD
"Hess, Martin",MdB,AfD
"Hessel, Katja",MdB,FDP
"Heubach, Heike",MdB,SPD
"Heveling, Ansgar",MdB,CDU/CSU
"Hierl, Susanne",MdB,CDU/CSU
"Hilse, Karsten",MdB,AfD
"Hirte, Christian",MdB,CDU/CSU
"Hitschler, Thomas",MdB,SPD
"Hocker, Dr. Gero Clemens",MdB,FDP
"Höchst, Nicole",MdB,AfD
"Höferlin, Manuel",MdB,FDP
"Hönel, Bruno",MdB,Bündnis 90/Die Grünen
"Hoffmann, Alexander",MdB,CDU/CSU
"Hoffmann, Dr. Bettina",MdB,Bündnis 90/Die Grünen
"Hoffmann, Dr. Christoph",MdB,FDP
"Hofreiter, Dr. Anton",MdB,Bündnis 90/Die Grünen
"Hohmann, Angela",MdB,SPD
"Holm, Leif-Erik",MdB,AfD
"Holtz, Ottmar von",MdB,Bündnis 90/Die Grünen
"Hoppenstedt, Dr. Hendrik",MdB,CDU/CSU
"Hoppermann, Franziska",MdB,CDU/CSU
"Hostert, Jasmina",MdB,SPD
"Houben, Reinhard",MdB,FDP
"Huber, Johannes",MdB,fraktionslos
"Hubertz, Verena",MdB,SPD
"Hümpfer, Markus",MdB,SPD
"Hüppe, Hubert",MdB,CDU/CSU
"Hunko, Andrej",MdB,Gruppe BSW
"Huy, Gerrit",MdB,AfD
"in der Beek, Olaf",MdB,FDP
"Irlstorfer, Erich",MdB,CDU/CSU
"Jacobi, Fabian",MdB,AfD
"Janecek, Dieter",MdB,Bündnis 90/Die Grünen
"Janich, Steffen",MdB,AfD
"Janssen, Anne",MdB,CDU/CSU
"Jarzombek, Thomas",MdB,CDU/CSU
"Jensen, Gyde",MdB,FDP
"Jongen, Dr. Marc",MdB,AfD  *
"Jung, Andreas",MdB,CDU/CSU
"Jung, Ingmar",MdB,CDU/CSU  *
"Junge, Frank",MdB,SPD
"Juratovic, Josip",MdB,SPD
"Jurisch, Dr. Ann-Veruschka",MdB,FDP
"Kaczmarek, Oliver",MdB,SPD
"Kaddor, Lamya",MdB,Bündnis 90/Die Grünen
"Kaiser, Elisabeth",MdB,SPD
"Kappert-Gonther, Dr. Kirsten",MdB,Bündnis 90/Die Grünen
"Karaahmetoğlu, Macit",MdB,SPD
"Karliczek, Anja",MdB,CDU/CSU
"Kasper, Carlos",MdB,SPD
"Kassautzki, Anna",MdB,SPD
"Katzmarek, Gabriele",MdB,SPD
"Kaufmann, Dr. Malte",MdB,AfD
"Kaufmann, Prof. Dr.-Ing. habil. Michael",MdB,AfD
"Kaufmann, Dr. Stefan",MdB,CDU/CSU
"Keller, Rainer Johannes",MdB,SPD  **
"Kellner, Michael",MdB,Bündnis 90/Die Grünen
"Kemmer, Ronja",MdB,CDU/CSU
"Kersten, Dr. Franziska",MdB,SPD
"Keul, Katja",MdB,Bündnis 90/Die Grünen
"Keuter, Stefan",MdB,AfD
"Khan, Misbah",MdB,Bündnis 90/Die Grünen
"Kiesewetter, Roderich",MdB,CDU/CSU
"Kießling, Michael",MdB,CDU/CSU
"Kindler, Sven-Christian",MdB,Bündnis 90/Die Grünen
"Kippels, Dr. Georg",MdB,CDU/CSU
"Kipping, Katja",MdB,Die Linke  *
"Kiziltepe, Cansel",MdB,SPD  *
"Kleebank, Helmut",MdB,SPD
"Klein, Karsten",MdB,FDP
"Klein, Dr. Ottilie",MdB,CDU/CSU
"Klein, Volkmar",MdB,CDU/CSU
"Klein-Schmeink, Maria",MdB,Bündnis 90/Die Grünen
"Kleinwächter, Norbert",MdB,AfD
"Klinck, Dr. Kristian",MdB,SPD
"Klingbeil, Lars",MdB,SPD
"Klöckner, Julia",MdB,CDU/CSU
"Klose, Annika",MdB,SPD
"Kluckert, Daniela",MdB,FDP
"Klüssendorf, Tim",MdB,SPD
"Knoerig, Axel",MdB,CDU/CSU
"Kober, Pascal",MdB,FDP
"Köhler, Dr. Lukas",MdB,FDP
"König, Anne",MdB,CDU/CSU
"König, Jörn",MdB,AfD
"Koeppen, Jens",MdB,CDU/CSU
"Körber, Carsten",MdB,CDU/CSU
"Kofler, Dr. Bärbel",MdB,SPD
"Komning, Enrico",MdB,AfD
"Konrad, Carina",MdB,FDP
"Koob, Markus",MdB,CDU/CSU
"Kopf, Chantal",MdB,Bündnis 90/Die Grünen
"Korte, Jan",MdB,Gruppe Die Linke
"Koß, Simona",MdB,SPD
"Kotré, Steffen",MdB,AfD
"Krämer, Philip",MdB,Bündnis 90/Die Grünen
"Kraft, Laura",MdB,Bündnis 90/Die Grünen
"Kraft, Dr. Rainer",MdB,AfD
"Kramme, Anette",MdB,SPD
"Kreiser, Dunja",MdB,SPD
"Kretz, Jürgen",MdB,Bündnis 90/Die Grünen
"Krichbaum, Gunther",MdB,CDU/CSU
"Krings, Dr. Günter",MdB,CDU/CSU
"Krischer, Oliver",MdB,Bündnis 90/Die Grünen  *
"Kröber, Martin",MdB,SPD
"Krumwiede-Steiner, Dr. Franziska",MdB,Bündnis 90/Die Grünen
"Kruse, Michael",MdB,FDP
"Kuban, Tilman",MdB,CDU/CSU
"Kubicki, Wolfgang",MdB,FDP
"Kühn (Tübingen), Christian",MdB,Bündnis 90/Die Grünen  *
"Kühnert, Kevin",MdB,SPD
"Künast, Renate",MdB,Bündnis 90/Die Grünen
"Kuhle, Konstantin",MdB,FDP
"Kurth, Markus",MdB,Bündnis 90/Die Grünen
"Lahrkamp, Sarah",MdB,SPD
"Lambsdorff, Alexander Graf",MdB,FDP  *
"Lang, Ricarda",MdB,Bündnis 90/Die Grünen
"Lange, Ulrich",MdB,CDU/CSU
"Larem, Andreas",MdB,SPD
"Laschet, Armin",MdB,CDU/CSU
"Latendorf, Ina",MdB,Gruppe Die Linke
"Launert, Dr. Silke",MdB,CDU/CSU
"Lauterbach, Prof. Dr. Karl",MdB,SPD
"Lay, Caren",MdB,Gruppe Die Linke
"Lechte, Ulrich",MdB,FDP
"Lehmann, Jens",MdB,CDU/CSU
"Lehmann, Sven",MdB,Bündnis 90/Die Grünen
"Lehmann, Sylvia",MdB,SPD
"Lehrieder, Paul",MdB,CDU/CSU
"Leikert, Dr. Katja",MdB,CDU/CSU
"Leiser, Kevin",MdB,SPD
"Lemke, Steffi",MdB,Bündnis 90/Die Grünen
"Lenders, Jürgen",MdB,FDP
"Lenkert, Ralph",MdB,Gruppe Die Linke
"Lenz, Dr. Andreas",MdB,CDU/CSU
"Leye, Christian",MdB,Gruppe BSW
"Licina-Bode, Luiza",MdB,SPD
"Lieb, Dr. Thorsten",MdB,FDP
"Liebert, Anja",MdB,Bündnis 90/Die Grünen
"Limbacher, Esra",MdB,SPD
"Limburg, Helge",MdB,Bündnis 90/Die Grünen
"Lindemann, Lars",MdB,FDP  *
"Lindh, Helge",MdB,SPD
"Lindholz, Andrea",MdB,CDU/CSU
"Lindner, Christian",MdB,FDP
"Lindner, Dr. Tobias",MdB,Bündnis 90/Die Grünen
"Link (Heilbronn), Michael Georg",MdB,FDP
"Linnemann, Dr. Carsten",MdB,CDU/CSU
"Lips, Patricia",MdB,CDU/CSU
"Lötzsch, Dr. Gesine",MdB,Gruppe Die Linke
"Loop, Denise",MdB,Bündnis 90/Die Grünen
"Loos, Bernhard",MdB,CDU/CSU
"Lucassen, Rüdiger",MdB,AfD
"Lucks, Max",MdB,Bündnis 90/Die Grünen
"Luczak, Dr. Jan-Marco",MdB,CDU/CSU
"Ludwig, Daniela",MdB,CDU/CSU
"Lührmann, Dr. Anna",MdB,Bündnis 90/Die Grünen
"Lütke, Kristine",MdB,FDP
"Lugk, Bettina",MdB,SPD
"Luksic, Oliver",MdB,FDP
"Lutze, Thomas",MdB,SPD
"Maas, Heiko",MdB,SPD  *
"Machalet, Dr. Tanja",MdB,SPD
"Mack, Klaus",MdB,CDU/CSU
"Mackensen-Geis, Isabel",MdB,SPD
"Magwas, Yvonne",MdB,CDU/CSU
"Malottki, Erik von",MdB,SPD
"Mann, Holger",MdB,SPD
"Mannes, Dr. Astrid",MdB,CDU/CSU
"Mansmann, Till",MdB,FDP
"Mansoori, Kaweh",MdB,SPD  *
"Martens, Dr. Zanda",MdB,SPD
"Martin, Dorothee",MdB,SPD
"Marvi, Parsa",MdB,SPD
"Mascheck, Franziska",MdB,SPD
"Mast, Katja",MdB,SPD
"Mattfeldt, Andreas",MdB,CDU/CSU
"Mayer (Altötting), Stephan",MdB,CDU/CSU
"Mayer, Dr. Zoe",MdB,Bündnis 90/Die Grünen
"Mayer-Lay, Volker",MdB,CDU/CSU
"Mehltretter, Andreas",MdB,SPD
"Mehmet Ali, Takis",MdB,SPD
"Meiser, Pascal",MdB,Gruppe Die Linke  *
"Meister, Dr. Michael",MdB,CDU/CSU
"Mende, Dirk-Ulrich",MdB,SPD
"Menge, Susanne",MdB,Bündnis 90/Die Grünen
"Merz, Friedrich",MdB,CDU/CSU
"Mesarosch, Robin",MdB,SPD
"Metzler, Jan",MdB,CDU/CSU
"Meyer, Christoph",MdB,FDP
"Miazga, Corinna",MdB,AfD  **
